DATE,GEOGRAPHY_LEVEL,GEOGRAPHY_NAME,FIPS,DEMOGRAPHIC_GROUP,DEMOGRAPHIC_CATEGORY,PARTIALLY_OR_FULLY_VACCINATED_PERSONS,FULLY_VACCINATED_PERSONS,POPULATION,PARTIALLY_OF_FULLY_VACCINATED_PERCENT,FULLY_VACCINATED_PERCENT,TOTAL_DOSES_ADMINISTERED,TOTAL_DOSES_DISTRIBUTED,SOURCEINFO,USAFACTS_INGESTION_DATE
"2021-05-12","State","Dept of Defense","XX","Total","Total","1919807.00000","1286552.00000","NULL","NULL","NULL","3196815.00000","4054870.00000","CDC State and National Vaccination Data","2021-05-13T13:25:17.385Z"
"2021-01-26","State","Dept of Defense","XX","Total","Total","304294.00000","35570.00000","NULL","NULL","NULL","346180.00000","689425.00000","CDC State and National Vaccination Data","2021-02-01T12:27:43.483Z"
"2021-06-09","State","Veterans Health","XX","Total","Total","2797742.00000","2642451.00000","NULL","NULL","NULL","5289587.00000","6239605.00000","CDC State and National Vaccination Data","2021-06-10T13:25:23.153Z"
"2021-04-18","State","Indian Health Svc","XX","Total","Total","685097.00000","486527.00000","2082813.00000","0.32892871324","0.23359130176","1160071.00000","1657885.00000","CDC State and National Vaccination Data","2021-04-19T13:25:14.522Z"
"2021-04-13","Nation","United States","00","Total","Total","122295530.00000","75322283.00000","331996199.00000","0.36836424745","0.22687694385","192282781.00000","245364805.00000","CDC State and National Vaccination Data","2021-04-14T09:25:22.702Z"
"2021-05-30","State","Marshall Islands","XX","Total","Total","16497.00000","13971.00000","58413.00000","0.28242000924","0.23917621077","30257.00000","51300.00000","CDC State and National Vaccination Data","2021-06-01T09:25:44.928Z"
"2021-03-26","State","Marshall Islands","XX","Total","Total","12381.00000","7444.00000","58413.00000","0.21195624262","0.12743738551","19871.00000","35800.00000","CDC State and National Vaccination Data","2021-03-27T09:25:23.431Z"
"2021-06-13","Nation","United States","00","Total","Total","173840483.00000","143921222.00000","331996199.00000","0.52362190749","0.43350261971","309322545.00000","374398105.00000","CDC State and National Vaccination Data","2021-06-14T09:25:13.823Z"
"2021-02-11","Nation","United States","00","Total","Total","34723964.00000","11188782.00000","331996199.00000","0.10459145046","0.03370153644","46390270.00000","68285575.00000","CDC State and National Vaccination Data","2021-02-12T08:25:18.724Z"
"2021-02-03","Nation","United States","00","Total","Total","27154956.00000","6436931.00000","331996199.00000","0.08179297258","0.01938856836","33878254.00000","55943800.00000","CDC State and National Vaccination Data","2021-02-04T12:25:18.809Z"
"2021-03-19","State","Republic of Palau","XX","Total","Total","8233.00000","3378.00000","17907.00000","0.45976433797","0.18864131345","11500.00000","14800.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-04-01","State","Federated States of Micronesia","XX","Total","Total","15567.00000","9670.00000","103643.00000","0.15019827678","0.09330104300","25176.00000","63000.00000","CDC State and National Vaccination Data","2021-04-02T09:26:52.096Z"
"2021-04-24","State","Indian Health Svc","XX","Total","Total","701810.00000","515053.00000","2082813.00000","0.33695295737","0.24728720245","1205018.00000","1673335.00000","CDC State and National Vaccination Data","2021-04-25T09:25:24.298Z"
"2021-03-29","State","Indian Health Svc","XX","Total","Total","592001.00000","354700.00000","2082813.00000","0.28423146965","0.17029853376","945805.00000","1462525.00000","CDC State and National Vaccination Data","2021-03-30T09:26:45.341Z"
"2021-01-31","State","Indian Health Svc","XX","Total","Total","165493.00000","40602.00000","NULL","NULL","NULL","209747.00000","423600.00000","CDC State and National Vaccination Data","2021-02-01T08:25:16.627Z"
"2021-03-02","Nation","United States","00","Total","Total","51755447.00000","26162122.00000","331996199.00000","0.15589168537","0.07880247448","78631601.00000","102353940.00000","CDC State and National Vaccination Data","2021-03-03T12:25:20.554Z"
"2021-04-26","State","Bureau of Prisons","XX","Total","Total","83085.00000","60470.00000","NULL","NULL","NULL","142526.00000","147940.00000","CDC State and National Vaccination Data","2021-04-27T09:26:09.124Z"
"2021-06-19","State","Indian Health Svc","XX","Total","Total","792556.00000","647163.00000","2082813.00000","0.38052191915","0.31071584439","1423064.00000","1747615.00000","CDC State and National Vaccination Data","2021-06-20T09:25:24.092Z"
"2021-01-28","State","Indian Health Svc","XX","Total","Total","144908.00000","33645.00000","NULL","NULL","NULL","180226.00000","406525.00000","CDC State and National Vaccination Data","2021-01-29T12:25:22.707Z"
"2021-05-10","Nation","United States","00","Total","Total","152819904.00000","115530780.00000","331996199.00000","0.46030618561","0.34798826115","261599381.00000","329843825.00000","CDC State and National Vaccination Data","2021-05-11T09:25:28.856Z"
"2021-01-23","State","Marshall Islands","XX","Total","Total","2840.00000","3.00000","NULL","NULL","NULL","2873.00000","13600.00000","CDC State and National Vaccination Data","2021-02-01T12:24:53.104Z"
"2021-06-10","State","Colorado","08","Total","Total","3203037.00000","2728692.00000","5758736.00000","0.55620486857","0.47383523051","5805820.00000","6862750.00000","CDC State and National Vaccination Data","2021-06-11T13:25:22.585Z"
"2021-04-19","State","Colorado","08","Total","Total","2447138.00000","1510363.00000","5758736.00000","0.42494359873","0.26227335304","3846376.00000","4515250.00000","CDC State and National Vaccination Data","2021-04-20T13:25:13.813Z"
"2021-02-28","State","Colorado","08","Total","Total","901520.00000","462155.00000","5758736.00000","0.15654824253","0.08025285410","1371577.00000","1700660.00000","CDC State and National Vaccination Data","2021-03-01T08:25:19.651Z"
"2021-06-07","State","Virginia","51","Total","Total","4803820.00000","3970967.00000","8535519.00000","0.56280350381","0.46522853502","8556621.00000","10019835.00000","CDC State and National Vaccination Data","2021-06-08T13:25:24.513Z"
"2021-06-08","State","Colorado","08","Total","Total","3193003.00000","2710559.00000","5758736.00000","0.55446247232","0.47068644925","5778285.00000","6861330.00000","CDC State and National Vaccination Data","2021-06-09T13:25:33.926Z"
"2021-03-29","State","Colorado","08","Total","Total","1664752.00000","976137.00000","5758736.00000","0.28908288208","0.16950542619","2602792.00000","3060410.00000","CDC State and National Vaccination Data","2021-03-30T09:26:45.341Z"
"2021-03-25","State","Colorado","08","Total","Total","1510575.00000","912807.00000","5758736.00000","0.26231016668","0.15850822125","2388899.00000","3006760.00000","CDC State and National Vaccination Data","2021-03-26T09:26:54.453Z"
"2021-05-01","State","Nevada","32","Total","Total","1228338.00000","873639.00000","3080156.00000","0.39879084046","0.28363466006","2075542.00000","2540440.00000","CDC State and National Vaccination Data","2021-05-02T13:25:21.379Z"
"2021-06-02","State","Virginia","51","Total","Total","4737745.00000","3880274.00000","8535519.00000","0.55506232251","0.45460317059","8403979.00000","9840195.00000","CDC State and National Vaccination Data","2021-06-03T09:25:18.807Z"
"2021-05-04","State","Colorado","08","Total","Total","2722484.00000","1972476.00000","5758736.00000","0.47275721617","0.34251891387","4602145.00000","5598750.00000","CDC State and National Vaccination Data","2021-05-05T09:25:20.283Z"
"2021-01-21","State","Colorado","08","Total","Total","296816.00000","54474.00000","5758736.00000","0.05154186613","0.00945936747","353194.00000","657250.00000","CDC State and National Vaccination Data","2021-02-01T12:21:53.526Z"
"2021-06-01","State","Nevada","32","Total","Total","1408090.00000","1139340.00000","3080156.00000","0.45714892363","0.36989684938","2514286.00000","2898670.00000","CDC State and National Vaccination Data","2021-06-02T09:25:19.670Z"
"2021-05-21","State","Nevada","32","Total","Total","1342834.00000","1072757.00000","3080156.00000","0.43596298369","0.34828008711","2392968.00000","2783440.00000","CDC State and National Vaccination Data","2021-05-22T13:25:16.271Z"
"2021-04-23","State","Nevada","32","Total","Total","1162079.00000","786816.00000","3080156.00000","0.37727926767","0.25544680205","1922250.00000","2367120.00000","CDC State and National Vaccination Data","2021-04-24T09:25:15.070Z"
"2021-03-21","State","Nevada","32","Total","Total","728878.00000","410553.00000","3080156.00000","0.23663671580","0.13328967754","1145354.00000","1348650.00000","CDC State and National Vaccination Data","2021-03-22T09:26:34.789Z"
"2021-02-21","State","Nevada","32","Total","Total","400079.00000","165269.00000","3080156.00000","0.12988920042","0.05365604859","569810.00000","646450.00000","CDC State and National Vaccination Data","2021-02-22T08:25:20.440Z"
"2021-05-26","State","Virginia","51","Total","Total","4623537.00000","3732813.00000","8535519.00000","0.54168199965","0.43732700964","8148295.00000","9600025.00000","CDC State and National Vaccination Data","2021-05-27T09:25:29.970Z"
"2021-04-28","State","Virginia","51","Total","Total","3945339.00000","2690087.00000","8535519.00000","0.46222602281","0.31516384651","6457715.00000","7927215.00000","CDC State and National Vaccination Data","2021-04-29T09:25:15.234Z"
"2021-04-11","State","Virginia","51","Total","Total","3294755.00000","1933675.00000","8535519.00000","0.38600523296","0.22654451358","5071677.00000","5965125.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-03-06","State","Virginia","51","Total","Total","1518467.00000","839517.00000","8535519.00000","0.17789978559","0.09835570631","2392680.00000","2881325.00000","CDC State and National Vaccination Data","2021-03-07T08:26:38.273Z"
"2021-04-22","State","Virginia","51","Total","Total","3730515.00000","2418109.00000","8535519.00000","0.43705778172","0.28329958612","5968173.00000","7285025.00000","CDC State and National Vaccination Data","2021-04-23T09:25:25.930Z"
"2021-05-26","State","Arizona","04","Total","Total","3313198.00000","2567678.00000","7278717.00000","0.45518983634","0.35276519200","5856464.00000","7702125.00000","CDC State and National Vaccination Data","2021-05-27T09:25:29.970Z"
"2021-04-23","State","Arizona","04","Total","Total","2832476.00000","1918341.00000","7278717.00000","0.38914495508","0.26355482704","4750108.00000","6236505.00000","CDC State and National Vaccination Data","2021-04-24T09:25:15.070Z"
"2021-04-22","State","Arizona","04","Total","Total","2805338.00000","1883233.00000","7278717.00000","0.38541655075","0.25873144951","4688598.00000","6070975.00000","CDC State and National Vaccination Data","2021-04-23T09:25:25.930Z"
"2021-04-13","State","Arizona","04","Total","Total","2579710.00000","1618978.00000","7278717.00000","0.35441823058","0.22242628749","4203995.00000","5292185.00000","CDC State and National Vaccination Data","2021-04-14T09:25:22.702Z"
"2021-02-16","State","Arizona","04","Total","Total","886107.00000","264416.00000","7278717.00000","0.12173944941","0.03632728131","1154583.00000","1396475.00000","CDC State and National Vaccination Data","2021-02-17T08:25:24.753Z"
"2021-06-06","State","Florida","12","Total","Total","10755920.00000","8609004.00000","21477737.00000","0.50079391511","0.40083384949","19159212.00000","24056285.00000","CDC State and National Vaccination Data","2021-06-07T09:25:15.568Z"
"2021-06-05","State","Florida","12","Total","Total","10717765.00000","8561621.00000","21477737.00000","0.49901742441","0.39862770459","19078401.00000","24056285.00000","CDC State and National Vaccination Data","2021-06-06T09:25:26.368Z"
"2021-05-05","State","Florida","12","Total","Total","9184860.00000","6553069.00000","21477737.00000","0.42764561276","0.30510984467","15721876.00000","21493305.00000","CDC State and National Vaccination Data","2021-05-06T13:25:20.541Z"
"2021-03-17","State","Florida","12","Total","Total","4524707.00000","2562319.00000","21477737.00000","0.21066963433","0.11930116287","7332554.00000","9981955.00000","CDC State and National Vaccination Data","2021-03-18T09:26:28.212Z"
"2021-02-07","State","Florida","12","Total","Total","1965590.00000","629556.00000","21477737.00000","0.09151755606","0.02931202668","2607527.00000","3791925.00000","CDC State and National Vaccination Data","2021-02-08T08:25:22.212Z"
"2021-06-08","State","Indiana","18","Total","Total","2864349.00000","2456499.00000","6732219.00000","0.42546877931","0.36488697115","5226699.00000","6540190.00000","CDC State and National Vaccination Data","2021-06-09T13:25:33.926Z"
"2021-04-03","State","Indiana","18","Total","Total","1814438.00000","1208285.00000","6732219.00000","0.26951559360","0.17947797004","2972415.00000","3640170.00000","CDC State and National Vaccination Data","2021-04-04T09:26:40.414Z"
"2021-02-23","State","Indiana","18","Total","Total","887936.00000","408261.00000","6732219.00000","0.13189351089","0.06064285787","1298877.00000","1704790.00000","CDC State and National Vaccination Data","2021-02-24T12:25:29.944Z"
"2021-02-14","State","Indiana","18","Total","Total","770193.00000","287278.00000","6732219.00000","0.11440403231","0.04267211153","1058874.00000","1388375.00000","CDC State and National Vaccination Data","2021-02-16T08:25:29.755Z"
"2021-05-15","State","Kentucky","21","Total","Total","1934514.00000","1603566.00000","4467673.00000","0.43300259442","0.35892644784","3409051.00000","4173955.00000","CDC State and National Vaccination Data","2021-05-16T09:25:21.341Z"
"2021-05-02","State","Kentucky","21","Total","Total","1851645.00000","1449769.00000","4467673.00000","0.41445401219","0.32450203943","3186682.00000","3979265.00000","CDC State and National Vaccination Data","2021-05-03T09:25:17.251Z"
"2021-04-04","State","Kentucky","21","Total","Total","1482959.00000","888314.00000","4467673.00000","0.33193096272","0.19883147222","2300753.00000","2731745.00000","CDC State and National Vaccination Data","2021-04-05T09:25:39.489Z"
"2021-03-19","State","Kentucky","21","Total","Total","1129895.00000","589338.00000","4467673.00000","0.25290458814","0.13191162379","1668125.00000","2022815.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-02-16","State","Kentucky","21","Total","Total","510373.00000","198180.00000","4467673.00000","0.11423687454","0.04435866278","711588.00000","903775.00000","CDC State and National Vaccination Data","2021-02-17T08:25:24.753Z"
"2021-03-30","State","Massachusetts","25","Total","Total","2316988.00000","1275456.00000","6892503.00000","0.33616060813","0.18504975624","3535818.00000","4117900.00000","CDC State and National Vaccination Data","2021-03-31T09:25:13.761Z"
"2021-02-01","State","Massachusetts","25","Total","Total","484829.00000","122652.00000","6892503.00000","0.07034150003","0.01779498681","608947.00000","1060900.00000","CDC State and National Vaccination Data","2021-02-02T12:25:34.606Z"
"2021-01-20","State","Massachusetts","25","Total","Total","288209.00000","42062.00000","6892503.00000","0.04181485304","0.00610257261","330490.00000","737550.00000","CDC State and National Vaccination Data","2021-01-20T14:00:25.221Z"
"2021-04-07","State","Pennsylvania","42","Total","Total","4537537.00000","2461399.00000","12801989.00000","0.35444000147","0.19226692040","6819136.00000","8911635.00000","CDC State and National Vaccination Data","2021-04-08T09:26:27.246Z"
"2021-03-17","State","Pennsylvania","42","Total","Total","3012928.00000","1538429.00000","12801989.00000","0.23534842906","0.12017109216","4491125.00000","5860715.00000","CDC State and National Vaccination Data","2021-03-18T09:26:28.212Z"
"2021-02-06","State","Pennsylvania","42","Total","Total","1036395.00000","298741.00000","12801989.00000","0.08095577961","0.02333551450","1338491.00000","2292500.00000","CDC State and National Vaccination Data","2021-02-07T08:25:23.051Z"
"2021-02-05","State","Pennsylvania","42","Total","Total","993076.00000","275444.00000","12801989.00000","0.07757200854","0.02151571916","1271529.00000","2292500.00000","CDC State and National Vaccination Data","2021-02-06T08:25:23.882Z"
"2021-01-28","State","Arizona","04","Total","Total","412841.00000","73927.00000","7278717.00000","0.05671892450","0.01015659765","487149.00000","1011375.00000","CDC State and National Vaccination Data","2021-01-29T12:25:22.707Z"
"2021-04-04","State","Indiana","18","Total","Total","1841749.00000","1233438.00000","6732219.00000","0.27357235408","0.18321418243","3016801.00000","3640170.00000","CDC State and National Vaccination Data","2021-04-05T09:25:39.489Z"
"2021-02-12","State","Indiana","18","Total","Total","659495.00000","213259.00000","6732219.00000","0.09796101404","0.03167737116","873568.00000","1360125.00000","CDC State and National Vaccination Data","2021-02-13T12:25:21.117Z"
"2021-04-11","State","Kentucky","21","Total","Total","1617017.00000","1060594.00000","4467673.00000","0.36193718744","0.23739293364","2571972.00000","3130125.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-05-12","State","Massachusetts","25","Total","Total","4209145.00000","3041527.00000","6892503.00000","0.61068453652","0.44128047532","7043681.00000","8339400.00000","CDC State and National Vaccination Data","2021-05-13T13:25:17.385Z"
"2021-04-22","State","Massachusetts","25","Total","Total","3497850.00000","2156940.00000","6892503.00000","0.50748617737","0.31294001613","5467558.00000","6520590.00000","CDC State and National Vaccination Data","2021-04-23T09:25:25.930Z"
"2021-03-18","State","Massachusetts","25","Total","Total","1845302.00000","969041.00000","6892503.00000","0.26772596254","0.14059348251","2773542.00000","3270160.00000","CDC State and National Vaccination Data","2021-03-19T09:26:17.278Z"
"2021-02-14","State","Massachusetts","25","Total","Total","823429.00000","259760.00000","6892503.00000","0.11946734009","0.03768732491","1085584.00000","1502925.00000","CDC State and National Vaccination Data","2021-02-16T08:25:29.755Z"
"2021-05-30","State","Pennsylvania","42","Total","Total","7466772.00000","5573531.00000","12801989.00000","0.58325093077","0.43536445782","12571563.00000","15063565.00000","CDC State and National Vaccination Data","2021-06-01T09:25:44.928Z"
"2021-05-07","State","Pennsylvania","42","Total","Total","6647012.00000","4507142.00000","12801989.00000","0.51921713103","0.35206576103","10758543.00000","13378425.00000","CDC State and National Vaccination Data","2021-05-08T09:25:25.731Z"
"2021-05-06","State","Arizona","04","Total","Total","3037050.00000","2222457.00000","7278717.00000","0.41725073251","0.30533636629","5259733.00000","6970425.00000","CDC State and National Vaccination Data","2021-05-07T09:25:26.531Z"
"2021-04-16","State","Arizona","04","Total","Total","2663248.00000","1702622.00000","7278717.00000","0.36589525324","0.23391787316","4366496.00000","5627335.00000","CDC State and National Vaccination Data","2021-04-17T09:25:15.895Z"
"2021-03-07","State","Indiana","18","Total","Total","1129750.00000","696137.00000","6732219.00000","0.16781242559","0.10340379598","1844669.00000","2206230.00000","CDC State and National Vaccination Data","2021-03-08T08:25:27.404Z"
"2021-03-05","State","Kentucky","21","Total","Total","768092.00000","390088.00000","4467673.00000","0.17192216172","0.08731346274","1162694.00000","1538415.00000","CDC State and National Vaccination Data","2021-03-06T08:26:09.163Z"
"2021-04-16","State","Massachusetts","25","Total","Total","3239232.00000","1934940.00000","6892503.00000","0.46996453973","0.28073110741","4991916.00000","5777290.00000","CDC State and National Vaccination Data","2021-04-17T09:25:15.895Z"
"2021-04-15","State","Massachusetts","25","Total","Total","3183694.00000","1892688.00000","6892503.00000","0.46190679932","0.27460096862","4895087.00000","5768250.00000","CDC State and National Vaccination Data","2021-04-16T09:25:26.588Z"
"2021-02-12","State","Massachusetts","25","Total","Total","741746.00000","218795.00000","6892503.00000","0.10761634779","0.03174391074","962711.00000","1499450.00000","CDC State and National Vaccination Data","2021-02-13T12:25:21.117Z"
"2021-05-29","State","Pennsylvania","42","Total","Total","7443313.00000","5544922.00000","12801989.00000","0.58141848114","0.43312972695","12521140.00000","15063565.00000","CDC State and National Vaccination Data","2021-05-30T09:25:16.468Z"
"2021-02-22","State","Pennsylvania","42","Total","Total","1699219.00000","651588.00000","12801989.00000","0.13273085924","0.05089740352","2358058.00000","2989725.00000","CDC State and National Vaccination Data","2021-02-23T08:25:27.716Z"
"2021-04-24","State","Indiana","18","Total","Total","2334098.00000","1659992.00000","6732219.00000","0.34670559588","0.24657427217","3914185.00000","5220380.00000","CDC State and National Vaccination Data","2021-04-25T09:25:24.298Z"
"2021-01-29","State","Indiana","18","Total","Total","475928.00000","105208.00000","6732219.00000","0.07069407576","0.01562753678","581322.00000","929900.00000","CDC State and National Vaccination Data","2021-01-30T12:25:31.742Z"
"2021-01-21","State","Massachusetts","25","Total","Total","306646.00000","46247.00000","6892503.00000","0.04448978840","0.00670975406","353117.00000","776400.00000","CDC State and National Vaccination Data","2021-02-01T12:22:06.508Z"
"2021-04-03","State","Pennsylvania","42","Total","Total","4383439.00000","2327675.00000","12801989.00000","0.34240296566","0.18182135604","6551136.00000","8174805.00000","CDC State and National Vaccination Data","2021-04-04T09:26:40.414Z"
"2021-02-08","State","Pennsylvania","42","Total","Total","1108626.00000","328907.00000","12801989.00000","0.08659794974","0.02569186710","1441358.00000","2292500.00000","CDC State and National Vaccination Data","2021-02-09T08:25:21.339Z"
"2021-04-14","State","Kentucky","21","Total","Total","1656702.00000","1111018.00000","4467673.00000","0.37081988767","0.24867934605","2653617.00000","3298245.00000","CDC State and National Vaccination Data","2021-04-15T21:25:36.929Z"
"2021-05-22","State","Pennsylvania","42","Total","Total","7228573.00000","5290521.00000","12801989.00000","0.56464452516","0.41325773675","12070286.00000","14630805.00000","CDC State and National Vaccination Data","2021-05-23T09:25:22.233Z"
"2021-06-02","State","Missouri","29","Total","Total","2597773.00000","2115461.00000","6137428.00000","0.42326736868","0.34468200686","4689451.00000","5912095.00000","CDC State and National Vaccination Data","2021-06-03T09:25:18.807Z"
"2021-05-05","State","Missouri","29","Total","Total","2351601.00000","1772468.00000","6137428.00000","0.38315740730","0.28879654474","4118674.00000","5388885.00000","CDC State and National Vaccination Data","2021-05-06T13:25:20.541Z"
